GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
5300100,2000,Aberdeen,Washington,16461.0,22.21,,41.58,492.0,30683.0,82100.0,29.4,82.19,0.38,9.22,3.35,2.01,0.13,2.62,0.1,,,,,0,0,0
5300100,2001,Aberdeen,Washington,16461.0,22.21,2726.23,41.58,492.0,30683.0,82100.0,29.4,82.19,0.38,9.22,3.35,2.01,0.13,2.62,0.1,91.2,48.28,1.77,3.35,1,0,0
5300100,2002,Aberdeen,Washington,16461.0,22.21,2742.6,41.58,492.0,30683.0,82100.0,29.4,82.19,0.38,9.22,3.35,2.01,0.13,2.62,0.1,77.58,43.97,1.6,2.83,1,0,0
5300100,2003,Aberdeen,Washington,16461.0,22.21,2763.94,41.58,492.0,30683.0,82100.0,29.4,82.19,0.38,9.22,3.35,2.01,0.13,2.62,0.1,91.67,45.02,1.63,3.32,1,0,0
5300100,2004,Aberdeen,Washington,16461.0,22.21,2781.31,41.58,492.0,30683.0,82100.0,29.4,82.19,0.38,9.22,3.35,2.01,0.13,2.62,0.1,89.61,25.36,0.91,3.22,1,0,0
5300100,2005,Aberdeen,Washington,16112.0,15.51,2802.67,47.49,656.0,38068.0,128900.0,27.9,77.43,0.09,15.04,3.14,0.63,0.24,3.2,0.22,102.6,34.33,1.23,3.66,1,0,0
5300100,2006,Aberdeen,Washington,16112.0,15.51,2816.09,47.49,656.0,38068.0,128900.0,27.9,77.43,0.09,15.04,3.14,0.63,0.24,3.2,0.22,85.03,32.34,1.15,3.02,1,0,0
5300100,2007,Aberdeen,Washington,16112.0,15.51,2836.46,47.49,656.0,38068.0,128900.0,27.9,77.43,0.09,15.04,3.14,0.63,0.24,3.2,0.22,72.25,47.91,1.69,2.55,1,0,0
5300100,2008,Aberdeen,Washington,16112.0,15.51,2854.8,47.49,656.0,38068.0,128900.0,27.9,77.43,0.09,15.04,3.14,0.63,0.24,3.2,0.22,62.32,45.03,1.58,2.18,1,0,0
5300100,2009,Aberdeen,Washington,16112.0,15.51,2874.17,47.49,656.0,38068.0,128900.0,27.9,77.43,0.09,15.04,3.14,0.63,0.24,3.2,0.22,48.0,21.35,0.74,1.67,1,0,0
5300100,2010,Aberdeen,Washington,16896.0,15.6,2891.53,44.9,703.0,39872.0,119700.0,29.6,74.63,0.7,15.85,3.05,1.79,0.27,3.6,0.11,61.67,51.67,1.79,2.13,1,0,0
5300100,2011,Aberdeen,Washington,16429.0,16.59,2891.56,47.3,694.0,40958.0,121000.0,27.8,71.61,0.79,18.81,3.49,1.29,0.86,3.16,0.0,49.97,35.29,1.22,1.73,1,0,0
5300100,2012,Aberdeen,Washington,16429.0,16.59,2886.56,47.3,694.0,40958.0,121000.0,27.8,71.61,0.79,18.81,3.49,1.29,0.86,3.16,0.0,54.32,49.3,1.71,1.88,1,0,0
5300100,2013,Aberdeen,Washington,16429.0,16.59,2891.54,47.3,694.0,40958.0,121000.0,27.8,71.61,0.79,18.81,3.49,1.29,0.86,3.16,0.0,70.13,61.35,2.12,2.43,1,0,0
5300100,2014,Aberdeen,Washington,16429.0,16.59,2884.23,47.3,694.0,40958.0,121000.0,27.8,71.61,0.79,18.81,3.49,1.29,0.86,3.16,0.0,60.96,37.0,1.28,2.11,1,0,0
5300100,2015,Aberdeen,Washington,16429.0,16.59,2885.23,47.3,694.0,40958.0,121000.0,27.8,71.61,0.79,18.81,3.49,1.29,0.86,3.16,0.0,86.32,45.33,1.57,2.99,1,0,0
5300100,2016,Aberdeen,Washington,16429.0,16.59,2879.26,47.3,694.0,40958.0,121000.0,27.8,71.61,0.79,18.81,3.49,1.29,0.86,3.16,0.0,106.9,82.53,2.87,3.71,1,0,0
5300135,2000,Aberdeen Gardens,Washington,227.0,7.52,,26.14,491.0,38403.0,100000.0,21.3,96.48,0.0,1.76,1.32,0.0,0.0,0.44,0.0,,,,,0,0,0
5300135,2001,Aberdeen Gardens,Washington,227.0,7.52,18.22,26.14,491.0,38403.0,100000.0,21.3,96.48,0.0,1.76,1.32,0.0,0.0,0.44,0.0,0.59,0.59,3.26,3.26,1,0,0
5300135,2002,Aberdeen Gardens,Washington,227.0,7.52,18.22,26.14,491.0,38403.0,100000.0,21.3,96.48,0.0,1.76,1.32,0.0,0.0,0.44,0.0,0.2,0.0,0.0,1.09,1,0,0
5300135,2003,Aberdeen Gardens,Washington,227.0,7.52,18.22,26.14,491.0,38403.0,100000.0,21.3,96.48,0.0,1.76,1.32,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,1,0,0
5300135,2004,Aberdeen Gardens,Washington,227.0,7.52,18.22,26.14,491.0,38403.0,100000.0,21.3,96.48,0.0,1.76,1.32,0.0,0.0,0.44,0.0,1.39,0.2,1.09,7.61,1,0,0
5300135,2005,Aberdeen Gardens,Washington,154.0,0.0,18.22,51.16,786.0,46346.0,191700.0,33.1,97.4,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.4,0.0,0.0,2.17,1,0,0
5300135,2006,Aberdeen Gardens,Washington,154.0,0.0,18.02,51.16,786.0,46346.0,191700.0,33.1,97.4,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.2,0.0,0.0,1.1,1,0,0
5300135,2007,Aberdeen Gardens,Washington,154.0,0.0,18.02,51.16,786.0,46346.0,191700.0,33.1,97.4,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.2,0.2,1.1,1.1,1,0,0
5300135,2008,Aberdeen Gardens,Washington,154.0,0.0,18.02,51.16,786.0,46346.0,191700.0,33.1,97.4,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.4,0.2,1.1,2.2,1,0,0
5300135,2009,Aberdeen Gardens,Washington,154.0,0.0,18.02,51.16,786.0,46346.0,191700.0,33.1,97.4,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
5300135,2010,Aberdeen Gardens,Washington,279.0,0.0,18.02,23.68,725.0,52667.0,183600.0,23.3,89.61,0.0,5.02,0.72,2.15,0.0,2.51,0.0,0.2,0.2,1.1,1.1,1,0,0
5300135,2011,Aberdeen Gardens,Washington,261.0,0.0,18.22,24.32,1056.0,55966.0,165300.0,26.1,77.39,0.0,12.26,0.0,1.15,0.0,9.2,0.0,0.0,0.0,0.0,0.0,1,0,0
5300135,2012,Aberdeen Gardens,Washington,261.0,0.0,18.22,24.32,1056.0,55966.0,165300.0,26.1,77.39,0.0,12.26,0.0,1.15,0.0,9.2,0.0,0.0,0.0,0.0,0.0,1,0,0
5300135,2013,Aberdeen Gardens,Washington,261.0,0.0,18.42,24.32,1056.0,55966.0,165300.0,26.1,77.39,0.0,12.26,0.0,1.15,0.0,9.2,0.0,0.0,0.0,0.0,0.0,1,0,0
5300135,2014,Aberdeen Gardens,Washington,261.0,0.0,18.62,24.32,1056.0,55966.0,165300.0,26.1,77.39,0.0,12.26,0.0,1.15,0.0,9.2,0.0,0.4,0.0,0.0,2.13,1,0,0
5300135,2015,Aberdeen Gardens,Washington,261.0,0.0,18.62,24.32,1056.0,55966.0,165300.0,26.1,77.39,0.0,12.26,0.0,1.15,0.0,9.2,0.0,0.0,0.0,0.0,0.0,1,0,0
5300135,2016,Aberdeen Gardens,Washington,261.0,0.0,18.81,24.32,1056.0,55966.0,165300.0,26.1,77.39,0.0,12.26,0.0,1.15,0.0,9.2,0.0,0.2,0.2,1.05,1.05,1,0,0
5300275,2000,Acme,Washington,263.0,13.17,,21.95,546.0,41964.0,85700.0,22.7,92.02,0.0,4.94,0.0,0.0,0.0,3.04,0.0,,,,,0,0,0
5300275,2001,Acme,Washington,263.0,13.17,18.57,21.95,546.0,41964.0,85700.0,22.7,92.02,0.0,4.94,0.0,0.0,0.0,3.04,0.0,0.43,0.14,0.76,2.29,1,0,0
5300275,2002,Acme,Washington,263.0,13.17,19.28,21.95,546.0,41964.0,85700.0,22.7,92.02,0.0,4.94,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,1,0,0
5300275,2003,Acme,Washington,263.0,13.17,,21.95,546.0,41964.0,85700.0,22.7,92.02,0.0,4.94,0.0,0.0,0.0,3.04,0.0,,,,,0,0,0
5300275,2004,Acme,Washington,263.0,13.17,,21.95,546.0,41964.0,85700.0,22.7,92.02,0.0,4.94,0.0,0.0,0.0,3.04,0.0,,,,,0,0,0
5300275,2005,Acme,Washington,176.0,0.0,,0.0,,34931.0,258300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
5300275,2006,Acme,Washington,176.0,0.0,,0.0,,34931.0,258300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
5300275,2007,Acme,Washington,176.0,0.0,,0.0,,34931.0,258300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
5300275,2008,Acme,Washington,176.0,0.0,,0.0,,34931.0,258300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
5300275,2009,Acme,Washington,176.0,0.0,,0.0,,34931.0,258300.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
5300275,2010,Acme,Washington,246.0,0.0,,17.89,,105327.0,413100.0,,90.65,0.41,2.85,1.22,0.0,0.0,4.88,0.0,,,,,0,0,0
5300275,2011,Acme,Washington,156.0,100.0,,100.0,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
